epoch,train_total,val_total,train_bce,val_bce,train_mse,val_mse
1,0.4915968895685382,0.20509320362047714,0.4761281406007162,0.20072633434425702,0.15468749862800285,0.04366868734359741
2,0.14425698595076072,0.10643858733502301,0.14157923111101475,0.10462949966842477,0.026777549726297943,0.01809086481278593
3,0.09150891778309171,0.07354039597240361,0.0901027476278747,0.0724910365586931,0.014061701597600448,0.01049359261312268
4,0.06958957584347666,0.05655562403527173,0.06863581634512762,0.05588643218983303,0.009537598600883672,0.006691923407329755
5,0.05647032435347394,0.0490976751528003,0.05579569599613911,0.04858786815946752,0.0067462840787612085,0.0050980676156045365
6,0.04872951910990041,0.04343331909992478,0.04820240888653732,0.04303767244246873,0.005271103695920873,0.003956461526368829
7,0.04447305806708045,0.04516728679564866,0.044009206271389635,0.04472352242605253,0.004638516781397346,0.004437642732889138
8,0.040325200026173416,0.03545450808649713,0.03993959018460861,0.03518338145857507,0.003856098510767901,0.0027112654748965392
9,0.036763476934738276,0.03536377220668576,0.03645130417241556,0.03508412651717663,0.0031217265428361914,0.0027964551171118564
10,0.03575298083355514,0.03235693902454593,0.035447007635744605,0.032123266803947365,0.003059732020696307,0.0023367219837382436
11,0.03367546264354775,0.031135365874929863,0.033410650314536036,0.030896086076443844,0.00264812335542335,0.0023927999215877867
12,0.032245586399079824,0.031409360468387604,0.03200892340846178,0.031194579364223915,0.002366630814787818,0.002147808702747253
13,0.03051404459629117,0.030807344242930412,0.03030291947013721,0.030622572045434605,0.0021112513807942956,0.0018477177205072207
14,0.029904061156075176,0.028913265771486542,0.02970103910419999,0.028753765604712746,0.002030219963649515,0.0015950032552196221
15,0.028356974853611574,0.027800619771534748,0.02818748273137139,0.027650277892296963,0.0016949213302989558,0.0015034172048961575
16,0.027865840962565527,0.027110407128930092,0.02769221706179584,0.026964731175791134,0.0017362390928788156,0.0014567607749168847
17,0.027409946091654824,0.026237657632340084,0.027246578982690485,0.026105132631280205,0.0016336700369365422,0.0013252487776546993
18,0.027118824808517607,0.027414225549860435,0.02696653898441937,0.02726741185919805,0.0015228585135645982,0.0014681378009051762
19,0.027252778569917854,0.025056343525648117,0.027097930654701664,0.02494199023666707,0.0015484797967052677,0.0011435325564393265
20,0.026404093587543906,0.02464320087297396,0.02626322748184931,0.0245397218757055,0.001408660448604922,0.0010347913537936454
21,0.02576507696109574,0.02472840359603817,0.025628892318686335,0.024623220024461098,0.001361846527732091,0.001051835948601365
22,0.025844828089381138,0.02398915478790348,0.025703710367585102,0.023884908550164917,0.0014111770085547483,0.0010424624858635732
23,0.025524032347631162,0.023920112289488316,0.02539180126041174,0.023815144615417175,0.0013223109957080606,0.0010496798548212444
24,0.025123653774399582,0.022730343170802702,0.025000240540177358,0.022639837158335882,0.0012341330492323854,0.0009050597714535384
25,0.024865135891226735,0.02450590335171331,0.02474052122816807,0.024390455928038467,0.0012461468243755672,0.001154475612565875
26,0.02442400327815515,0.024379482577470215,0.02430636810547695,0.024273527532138607,0.0011763510864977612,0.0010595487758771262
27,0.0247225005225074,0.02364214687523517,0.02460276412709457,0.023546120659871536,0.0011973639548381381,0.000960262891815298
28,0.02426196075975895,0.023685073480010033,0.02414817994505894,0.023580177687108517,0.001137809257204758,0.0010489594371227379
29,0.023948019461297407,0.023051172325556927,0.023835477691779777,0.022955745373937218,0.001125416763853736,0.0009542661322153766
30,0.023307140984731477,0.021932908630167895,0.023205553408621286,0.02185267967764627,0.0010158756808888894,0.0008022924514741383
