epoch,train_loss,val_loss
1,0.2307932396396631,0.03629276088692925
2,0.02600177534197162,0.020393823358145626
3,0.02042481901760145,0.016670521094717762
4,0.015049765681529917,0.01412011268125339
5,0.01372443866438982,0.012579026039351116
6,0.012179309905438526,0.011467422422190959
7,0.011261084440686717,0.010808365673504093
8,0.010777918871764729,0.010285263605923816
9,0.010552541443669215,0.009716229587370022
10,0.009845531420645917,0.009374059652062979
11,0.010414991011025339,0.009429951738142832
12,0.009910181664475581,0.009063356852328236
13,0.009338683346513568,0.008767459308728576
14,0.009142448694059035,0.008597822330722754
15,0.009361389689374625,0.008429666859394109
16,0.008898761072309642,0.008296792570035905
17,0.008737693813334151,0.008177399402484298
18,0.008823644330089048,0.00811790541576391
19,0.008723184795732178,0.008006461589089171
20,0.008815921848730706,0.007954184140544385
21,0.00845949963961796,0.00789040119112046
22,0.008227618314643822,0.007836604967120697
23,0.008437007631561378,0.007749084941513667
24,0.008393398429289824,0.007684091317721389
25,0.008192707051909187,0.007655107260110195
26,0.008040025997793347,0.007593922618649562
27,0.008145239002571055,0.007549197637920522
28,0.008180750179013646,0.007509100682165643
29,0.008006615709036408,0.007484224966240369
30,0.008109286086770093,0.007445320648416368
