epoch,train_loss,val_loss
1,0.1925771612583137,0.06854671747847037
2,0.04261278790399069,0.027275160293687473
3,0.020829611083083763,0.015809846279973335
4,0.014394322171716429,0.011384735264900055
5,0.010990114411248303,0.008986321531913498
6,0.009387294988988376,0.008129367350854656
7,0.00834636065382056,0.007116996238685467
8,0.007733256913857852,0.006870364167050205
9,0.007204622677640944,0.006394172521223399
10,0.00706940429943909,0.0060176355658437715
11,0.006626695610310246,0.005922883876006712
12,0.00650420043867354,0.005643843974791129
13,0.007059359196119192,0.005745085160015151
14,0.006398615603357917,0.005757812632840465
15,0.006058321223685109,0.0054670395700007
16,0.006137384419761053,0.005317151699934832
17,0.005959737810260821,0.005511230043008585
18,0.006049633883621271,0.005288507368690757
19,0.005892779956367321,0.005364446088523519
20,0.005895063096498389,0.005239367254861546
21,0.005656456640103787,0.005023393822325902
22,0.005747377949130789,0.005163497528304684
23,0.005656510174115438,0.004955964012134989
24,0.005659349461472253,0.004979832552304619
25,0.005534666411510509,0.005102054044651926
26,0.005498424498932209,0.005078563678993801
27,0.005500593410077982,0.005034958083177282
28,0.005531737143628117,0.004859952053679576
29,0.005419031674292211,0.004883726040134206
30,0.005393317716037173,0.004970665961578065
