epoch,train_total,val_total,train_bce,val_bce,train_mse,val_mse
1,0.3705534516345887,0.2999364386002223,0.3609219370853333,0.2930656969547272,0.0963151062883082,0.0687074065208435
2,0.18646259747800373,0.29039054612318677,0.18332423269748688,0.2834910998741786,0.03138363858064016,0.06899447863300641
3,0.11160652907121749,0.12930779655774435,0.11046558724982398,0.12786354372898737,0.011409421495738484,0.014442553433279196
4,0.07641499560503733,0.06607617810368538,0.07586043257088888,0.06566379715998967,0.005545632026734806,0.004123800589392583
5,0.05689273348876408,0.05032213653127352,0.05657539321553139,0.050074901431798935,0.0031733993063902573,0.0024723580572754145
6,0.042836579715921766,0.04167356342077255,0.04265038207882926,0.04149798800547918,0.001861974752197663,0.0017557522126783927
7,0.03448179949607168,0.0314218004544576,0.03435246655274005,0.031315673142671585,0.00129332671141518,0.0010612714492405455
8,0.02854471653699875,0.026637549822529156,0.028449419974571184,0.02655511349439621,0.0009529648454017227,0.0008243639798214039
9,0.02388740224497659,0.02175836016734441,0.02381378820254689,0.021696070209145546,0.0007361416383424686,0.0006228960313213369
10,0.02091900667264348,0.018735606223344803,0.020856608060144242,0.018683257202307384,0.0006239862414076924,0.0005234845254259805
11,0.018432029389909337,0.016931212817629177,0.018377442711165974,0.016884528721372288,0.0005458664562043157,0.00046683936185824376
12,0.01679882070138341,0.015121177459756533,0.01674845584091686,0.01507896309097608,0.0005036491423933988,0.00042214387212879956
13,0.015076190588020143,0.013503468285004297,0.015030706877864543,0.013463982691367468,0.0004548374840634919,0.0003948597392688195
14,0.013899253636953376,0.012898954873283705,0.013857099715442885,0.012859259421626726,0.0004215389351537895,0.00039695245019781095
15,0.013036140506821019,0.011499381624162197,0.012994872184381598,0.011464291873077551,0.00041268276011881727,0.00035089621087536216
16,0.01202405896037817,0.011001300998032093,0.011984885226757754,0.01096524546543757,0.00039173795292819183,0.00036055554907458526
17,0.011269840278795787,0.010279821542402109,0.011232172538127218,0.01024695672094822,0.0003766769424103023,0.0003286496891329686
18,0.010674453163076015,0.00977201759815216,0.010639081398646036,0.009739480912685394,0.00035371739206658235,0.00032536704869319993
19,0.010414765083364077,0.009343080222606659,0.010377428849183377,0.00931191723793745,0.00037336355585250116,0.00031162613110306364
20,0.010007073171436787,0.009032856362561384,0.009969990922226793,0.009001318054894606,0.0003708224214192125,0.0003153836587443948
21,0.00946571332003389,0.008732047863304615,0.00943112297959271,0.008702282483379046,0.00034590245784437725,0.0002976544734944279
22,0.009348813000889052,0.008231032794962326,0.009312521178452741,0.008199698136498531,0.00036291703803553466,0.0003133467786634962
23,0.009147073097881816,0.008714809703330198,0.009112010887336163,0.008682605189581713,0.000350621624550383,0.0003220440703444183
24,0.008697371597268752,0.00813669323300322,0.00866262914080705,0.008106951291362444,0.00034742409341214666,0.00029742099771586555
25,0.008359565909597137,0.007831996151556572,0.008325613924257812,0.007802211524297793,0.00033951951246265146,0.0002978454188754161
26,0.00817627286804574,0.007704469375312328,0.008143421484246141,0.007675540012617906,0.0003285139301581131,0.00028929409260551137
27,0.00791192724413815,0.007340088331451018,0.007879766458201976,0.007311885400364797,0.00032160839293196445,0.00028202817096219707
28,0.007751138237792821,0.007447380572557449,0.007718338032386133,0.007418778880188863,0.0003280028523433776,0.00028601511924838025
29,0.007575461042246648,0.006911672651767731,0.007543407092314391,0.006882112628469865,0.0003205393510316277,0.0002955991173318277
30,0.0074370454642034714,0.006864453045030435,0.007404938118443603,0.006836613329748313,0.0003210733002994121,0.00027839648828376085
