epoch,train_loss,val_loss
1,0.4762784513395007,0.2004548880186948
2,0.14106214219113675,0.10403347354043614
3,0.08951192494572663,0.07197682762687857
4,0.06812043724263586,0.05544854124838656
5,0.05536618515303949,0.04819167625497688
6,0.047829410061240196,0.04269821874120019
7,0.04368401264272085,0.04438099756159566
8,0.03965879576962169,0.03493857383728027
9,0.036211178728901755,0.03485652194781737
10,0.035222647575343526,0.03193758326497945
11,0.03322087498608886,0.03075437688014724
12,0.03183956950812078,0.031031225045973606
13,0.030149395509463984,0.030461320822889156
14,0.029559065542388255,0.02861858531832695
15,0.028069689142994764,0.027535335076126186
16,0.02757519933326942,0.026860929517583412
17,0.02713858093157774,0.02600998617708683
18,0.026868806697609948,0.02716146612709219
19,0.026999043028165654,0.024861687201667915
20,0.026176098211691146,0.02445967673239383
21,0.02554195953487623,0.024546107869933952
22,0.02561394245613639,0.023811766623773357
23,0.025309422076111886,0.023741453716700726
24,0.0249188847430959,0.022574351634830236
25,0.02465449348546383,0.024307043206962673
26,0.02421875064056821,0.02418698234991594
27,0.0245137002500819,0.02346157832917842
28,0.024060398079000594,0.023485620082779365
29,0.023742915562740188,0.02286377117376436
30,0.02311509100311413,0.021773349239744923
