epoch,train_total,val_total,train_bce,val_bce,train_mse,val_mse
1,0.2390080005748243,0.03704978254708377,0.23237128819270833,0.03689113801175898,0.06636713634148558,0.0015864475598474119
2,0.026867320215920122,0.02017903607338667,0.026758825701729553,0.02010473363440145,0.0010849452994922857,0.0007430224134375087
3,0.020152351659972492,0.01666984630917961,0.020060413233118086,0.01660385075956583,0.0009193838507976247,0.0006599564995584925
4,0.015241858833355874,0.015643388710238716,0.015178772280128991,0.015567990273914555,0.0006308652103520794,0.0007539865724869411
5,0.013984687126627782,0.012568898795341904,0.013921030660773196,0.012509609826586464,0.000636564361118916,0.0005928892713365548
6,0.012311983495814407,0.011579074812206354,0.012252403127892716,0.01152099099602889,0.0005958038666171999,0.0005808374202884311
7,0.011402420506517335,0.010843957075849175,0.011344321844417875,0.010786770800636574,0.0005809868925120454,0.0005718621790616784
8,0.010830120143775896,0.010344001062383706,0.010772747487374923,0.010287500579248775,0.0005737269835308103,0.0005650040977591495
9,0.01067157629763753,0.009816711620343003,0.010612779257183031,0.009761170462959191,0.0005879702909690578,0.0005554111459621873
10,0.009951090871742585,0.009439397370442748,0.009895133223702631,0.00938441857314584,0.0005595762207720815,0.000549788283168792
11,0.010361963633175304,0.009419315632178703,0.01030198547125953,0.009364516982300715,0.0005997811112603991,0.0005479873447132956
12,0.00994666987780209,0.009053368523547595,0.009888328168904635,0.008998966733501717,0.0005834171361795332,0.0005440172153405663
13,0.009396470458496635,0.008797778366980228,0.00934030304140434,0.008743698888627643,0.0005616744651555697,0.0005407953588742616
14,0.009232034787490236,0.008662690376778219,0.009176043123461125,0.008608723112212663,0.0005599165377178706,0.0005396736025473233
15,0.00944487939634156,0.008485870631623336,0.009386866398882575,0.008432151342276484,0.0005801305350160408,0.0005371926199741624
16,0.008977836389776046,0.008338867056987841,0.00892199703106066,0.008285288508473472,0.000558393724509742,0.0005357862411559919
17,0.00881740653024214,0.008234044769778848,0.008761416666391419,0.00818060806804252,0.0005598986718701426,0.000534366848496988
18,0.008909446959633653,0.00815874408528378,0.008852092560562418,0.008105481853073632,0.0005735438561958556,0.0005326217455128492
19,0.008825213977749028,0.008069829549640417,0.008768666598082678,0.008016762815796856,0.000565474122484419,0.0005306673196669594
20,0.008902348350824379,0.008002194290218706,0.008844834383259096,0.007949124137997966,0.0005751399652714409,0.0005307012318460445
21,0.008546981636843667,0.007917616632767022,0.008491401180125228,0.00786471709778363,0.0005558048319582623,0.000528995575117299
22,0.008304716272438626,0.007890957476444204,0.00825043948560317,0.007838106513108041,0.0005427680930219273,0.0005285096738418815
23,0.008512537162637383,0.007794274112463675,0.008456268631739587,0.007741608035179193,0.0005626850051623656,0.0005266609430947256
24,0.008471522298527927,0.007733266409063203,0.00841544901884002,0.007680877439931713,0.0005607328426643707,0.0005238895333237989
25,0.008271533842539279,0.007682188890281726,0.008216127281917668,0.0076297841601031405,0.000554065837804512,0.000524046805162987
26,0.008118415626174793,0.007632154182911935,0.008063842922948846,0.007580028891838579,0.0005457272966784175,0.000521253023430807
27,0.008221540619937203,0.007582697996192358,0.008166176366347184,0.007530691602203826,0.000553642327914287,0.0005200638795809131
28,0.00825381255424695,0.007550398128594018,0.008198156007338406,0.007498303206044842,0.0005565652286239173,0.0005209495395820082
29,0.008076340792041907,0.00752618231292052,0.00802154411425496,0.007473926549375226,0.0005479664447725887,0.000522557363280834
30,0.008180873780852048,0.007501348988047208,0.00812555323127748,0.0074493961212944914,0.0005532051411758336,0.0005195280591094461
